Intel® Product Specification Comparison
01/07/2025 03:16:59 PM
 ,Intel® Xeon® Processor D-1533N ,Intel® Xeon® Processor D-1513N ,Intel® Xeon® Processor D-1543N ,Intel® Xeon® Processor D-1523N ,Intel® Xeon® Processor D-1553N ,Intel® Xeon® D-2123IT Processor ,Intel® Xeon® D-2141I Processor ,Intel® Xeon® D-2143IT Processor ,Intel® Xeon® D-2142IT Processor ,Intel® Xeon® D-2145NT Processor ,Intel® Xeon® D-2146NT Processor ,Intel® Xeon® D-2161I Processor ,Intel® Xeon® D-2177NT Processor ,Intel® Xeon® D-2163IT Processor ,Intel® Xeon® D-2173IT Processor ,Intel® Xeon® D-2166NT Processor ,Intel® Xeon® D-2187NT Processor ,Intel® Xeon® D-2183IT Processor ,Intel® Xeon® Processor D-1524N ,Intel® Xeon® D-1653N Processor ,Intel® Xeon® D-1602 Processor ,Intel® Xeon® D-1622 Processor ,Intel® Xeon® D-1623N Processor ,Intel® Xeon® D-1627 Processor ,Intel® Xeon® D-1637 Processor ,Intel® Xeon® D-1633N Processor ,Intel® Xeon® D-1649N Processor ,Intel® Xeon® D-1736NT Processor ,Intel® Xeon® D-1733NT Processor ,Intel® Xeon® D-1746TER Processor ,Intel® Xeon® D-1749NT Processor ,Intel® Xeon® D-1713NT Processor ,Intel® Xeon® D-1735TR Processor ,Intel® Xeon® D-1713NTE Processor ,Intel® Xeon® D-1715TER Processor ,Intel® Xeon® D-1732TE Processor ,Intel® Xeon® D-1718T Processor ,Intel® Xeon® D-1712TR Processor ,Intel® Xeon® D-1714 Processor ,Intel® Xeon® D-1739 Processor ,Intel® Xeon® D-1736 Processor ,Intel® Xeon® D-1726 Processor ,Intel® Xeon® D-1722NE Processor ,Intel® Xeon® D-1734NT Processor ,Intel® Xeon® D-1702 Processor ,Intel® Xeon® D-1747NTE Processor ,Intel® Xeon® D-1748TE Processor ,Intel® Xeon® D-2712T Processor ,Intel® Xeon® D-2733NT Processor ,Intel® Xeon® D-2738 Processor ,Intel® Xeon® D-2745NX Processor ,Intel® Xeon® D-2753NT Processor ,Intel® Xeon® D-2757NX Processor ,Intel® Xeon® D-2776NT Processor ,Intel® Xeon® D-2777NX Processor ,Intel® Xeon® D-2766NT Processor ,Intel® Xeon® D-2779 Processor ,Intel® Xeon® D-2795NT Processor ,Intel® Xeon® D-2799 Processor ,Intel® Xeon® D-2798NX Processor ,Intel® Xeon® D-2798NT Processor ,Intel® Xeon® D-2752NTE Processor ,Intel® Xeon® D-2752TER Processor ,Intel® Xeon® D-2796NT Processor ,Intel® Xeon® D-2775TE Processor ,Intel® Xeon® D-2796TE Processor ,Intel® Xeon® D-2786NTE Processor ,Intel® Xeon® D-2739NT Processor ,Intel® Xeon® D-1731NTE Processor ,Intel® Xeon® D-1823NT Processor ,Intel® Xeon® D-1834 Processor ,Intel® Xeon® D-1846 Processor ,Intel® Xeon® D-1813NT Processor ,Intel® Xeon® D-1848TER Processor ,Intel® Xeon® D-1844NT Processor ,Intel® Xeon® D-2832NT Processor ,Intel® Xeon® D-2896NT Processor ,Intel® Xeon® D-2899NT Processor ,Intel® Xeon® D-2843NT Processor ,Intel® Xeon® D-2896TER Processor ,Intel® Xeon® D-2876NT Processor ,Intel® Xeon® Processor D-1520 ,Intel® Xeon® Processor D-1540 ,Intel® Xeon® Processor D-1529 ,Intel® Xeon® Processor D-1527 ,Intel® Xeon® Processor D-1537 ,Intel® Xeon® Processor D-1528 ,Intel® Xeon® Processor D-1541 ,Intel® Xeon® Processor D-1539 ,Intel® Xeon® Processor D-1518 ,Intel® Xeon® Processor D-1521 ,Intel® Xeon® Processor D-1531 ,Intel® Xeon® Processor D-1548 ,Intel® Xeon® Processor D-1559 ,Intel® Xeon® Processor D-1577 ,Intel® Xeon® Processor D-1571 ,Intel® Xeon® Processor D-1567 ,Intel® Xeon® Processor D-1557 
Use Conditions,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,,,,,,,,,,,,,,,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Communications Extended Temp |  Embedded Broad Market Commercial Temp |  Embedded Broad Market Extended Temp |  Industrial Commercial Temp |  Industrial Extended Temp |  Server/Enterprise,Automotive |  Base Transceiver Station |  Communications Commercial Temp |  Embedded Broad Market Commercial Temp |  Industrial Commercial Temp |  Server/Enterprise,,,Industrial Commercial Temp |  Industrial Extended Temp,Communications,Communications Commercial Temp,Communications Commercial Temp,,Industrial Commercial Temp |  Industrial Extended Temp,Communications Commercial Temp,,,Communications,Industrial Commercial Temp |  Industrial Extended Temp,Communications,,Communications,Communications Commercial Temp
Servicing Status,,,,,,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates
End of Servicing Updates Date,,,,,,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022,Saturday |  December 31 |  2022
Product Brief,,,,,,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,,View now,,View now,,View now,View now,View now,View now,,View now,View now,View now,View now,View now,View now,View now,View now,View now,,,,,,,,,,,,,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,View now,,,,,
Functional Safety (FuSa) Documentation Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Memory Specifications
Max Memory Size (dependent on memory type),128 GB,128 GB,128 GB,128 GB,128 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,256 GB,256 GB,384 GB,256 GB,256 GB,384 GB,256 GB,384 GB,384 GB,256 GB,384 GB,256 GB,384 GB,256 GB,384 GB,256 GB,256 GB,256 GB,384 GB,256 GB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,256 GB,1 TB,1 TB,1 TB,1 TB,1 TB,1 TB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB
Memory Types,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3,DDR4 |  DDR3
Max # of Memory Channels,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,,2,2,2,2,2,2,2,2,2,2,3,2,2,,2,,,,,,,,3,2,2,,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maximum Memory Speed,,,,,,2400 MHz,2133 MHz,2133 MHz,2133 MHz,2133 MHz,2133 MHz,2133 MHz,2667 MHz,2133 MHz,2133 MHz,2133 MHz,2667 MHz,2400 MHz,,2400 MHz,2133 MHz,2133 MHz,1866 MHz,2133 MHz,2400 MHz,2133 MHz,2133 MHz,2667 MHz,2400 MHz,2667 MHz,2667 MHz,2400 MHz,2933 MHz,2400 MHz,2667 MHz,2667 MHz,2933 MHz,2400 MHz,2667 MHz,2933 MHz,2933 MHz,2933 MHz,2400 MHz,2667 MHz,2400 MHz,2933 MHz,2400 MHz,2667 MHz,2667 MHz,2933 MHz,2667 MHz,2667 MHz,2667 MHz,2933 MHz,2667 MHz,2667 MHz,3200 MHz,2933 MHz,3200 MHz,2933 MHz,3200 MHz,2667 MHz,2667 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2933 MHz,2400 MHz,2400 MHz,2667 MHz,2933 MHz,2400 MHz,2667 MHz,2667 MHz,2667 MHz,2933 MHz,3200 MHz,2667 MHz,2933 MHz,2933 MHz,2133 MHz,2133 MHz,1600 MHz,2133 MHz,2133 MHz,2133 MHz,2400 MHz,2133 MHz,2133 MHz,2133 MHz,2133 MHz,2400 MHz,2133 MHz,2133 MHz,2400 MHz,2133 MHz,2133 MHz
Intel® Optane™ DC Persistent Memory Supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,

Expansion Options
Scalability,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only
PCI Express Revision,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0
PCI Express Configurations ‡,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,&gt;,>,>,>,>,>,>,>,>,>,>,>,>,,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16,x4 x8 x16
Max # of PCI Express Lanes,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,32,32,32,32,32,32,32,32,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,16,16,16,16,16,16,16,32,32,32,32,32,32,32,32,24,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Microprocessor PCIe Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,,,,,,,,,,,,,,,,,
Chipset / PCH PCIe Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,,,,,,,,,,,,,,,,,

I/O Specifications
# of USB Ports,8,8,8,8,8,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,4,8,8,4,8,8,8,8,8,8,8,8,8,8,8
USB Revision,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,,,,,,,,,,,,,,,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0/3.0,2.0/3.0,2.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0,2.0/3.0
Total # of SATA Ports,6,6,6,6,6,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Integrated LAN,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,4x 10GbE,No,No,4x 10GbE,4x 10GbE,4x 10GbE,4x 10GbE,4x 10GbE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
