Intel® Product Specification Comparison
01/07/2025 03:18:19 PM
 ,Intel® Xeon® Platinum 8470Q Processor ,Intel® Xeon® Platinum 8470 Processor ,Intel® Xeon® Gold 6414U Processor ,Intel® Xeon® Gold 6454S Processor ,Intel® Xeon® Platinum 8468 Processor ,Intel® Xeon® Platinum 8460Y+ Processor ,Intel® Xeon® Gold 6430 Processor ,Intel® Xeon® Platinum 8454H Processor ,Intel® Xeon® Platinum 8468V Processor ,Intel® Xeon® Platinum 8461V Processor ,Intel® Xeon® Platinum 8458P Processor ,Intel® Xeon® Platinum 8460H Processor ,Intel® Xeon® Platinum 8471N Processor ,Intel® Xeon® Platinum 8480+ Processor ,Intel® Xeon® Platinum 8490H Processor ,Intel® Xeon® Platinum 8470N Processor ,Intel® Xeon® Platinum 8444H Processor ,Intel® Xeon® Platinum 8468H Processor ,Intel® Xeon® Platinum 8450H Processor ,Intel® Xeon® Platinum 8452Y Processor ,Intel® Xeon® Bronze 3408U Processor ,Intel® Xeon® Gold 5415+ Processor ,Intel® Xeon® Gold 5412U Processor ,Intel® Xeon® Gold 6434 Processor ,Intel® Xeon® Silver 4410Y Processor ,Intel® Xeon® Gold 6426Y Processor ,Intel® Xeon® Silver 4416+ Processor ,Intel® Xeon® Gold 5418Y Processor ,Intel® Xeon® Gold 6442Y Processor ,Intel® Xeon® Gold 5420+ Processor ,Intel® Xeon® Gold 6438Y+ Processor ,Intel® Xeon® Platinum 8462Y+ Processor ,Intel® Xeon® Gold 6448Y Processor ,Intel® Xeon® Gold 6444Y Processor ,Intel® Xeon® Gold 6458Q Processor ,Intel® Xeon® Gold 6434H Processor ,Intel® Xeon® Silver 4410T Processor ,Intel® Xeon® Gold 6416H Processor ,Intel® Xeon® Gold 6418H Processor ,Intel® Xeon® Gold 6448H Processor ,Intel® Xeon® Gold 5418N Processor ,Intel® Xeon® Gold 5411N Processor ,Intel® Xeon® Gold 6428N Processor ,Intel® Xeon® Gold 6421N Processor ,Intel® Xeon® Gold 5416S Processor ,Intel® Xeon® Gold 6438N Processor ,Intel® Xeon® Gold 6438M Processor ,Intel® Xeon® Gold 5433N Processor ,Intel® Xeon® Gold 5423N Processor ,Intel® Xeon® Gold 6433N Processor ,Intel® Xeon® Gold 6433NE Processor ,Intel® Xeon® Gold 6423N Processor ,Intel® Xeon® Gold 6403N Processor ,Intel® Xeon® Gold 6443N Processor ,Intel® Xeon® Silver 4509Y Processor ,Intel® Xeon® Silver 4510 Processor ,Intel® Xeon® Silver 4510T Processor ,Intel® Xeon® Bronze 3508U Processor ,Intel® Xeon® Platinum 8571N Processor ,Intel® Xeon® Platinum 8568Y+ Processor ,Intel® Xeon® Gold 6530 Processor ,Intel® Xeon® Platinum 8580 Processor ,Intel® Xeon® Platinum 8593Q Processor ,Intel® Xeon® Platinum 8558 Processor ,Intel® Xeon® Platinum 8558P Processor ,Intel® Xeon® Platinum 8592+ Processor ,Intel® Xeon® Gold 6554S Processor ,Intel® Xeon® Platinum 8570 Processor ,Intel® Xeon® Platinum 8558U Processor ,Intel® Xeon® Platinum 8581V Processor ,Intel® Xeon® Platinum 8592V Processor ,Intel® Xeon® Gold 6534 Processor ,Intel® Xeon® Silver 4516Y+ Processor ,Intel® Xeon® Silver 4514Y Processor ,Intel® Xeon® Platinum 8562Y+ Processor ,Intel® Xeon® Gold 6542Y Processor ,Intel® Xeon® Gold 6526Y Processor ,Intel® Xeon® Gold 5520+ Processor ,Intel® Xeon® Gold 5515+ Processor ,Intel® Xeon® Gold 6538Y+ Processor ,Intel® Xeon® Gold 6548Y+ Processor ,Intel® Xeon® Gold 5512U Processor ,Intel® Xeon® Gold 6558Q Processor ,Intel® Xeon® Gold 6548N Processor ,Intel® Xeon® Gold 6538N Processor ,Intel® Xeon® Gold 6544Y Processor ,Intel® Xeon® Gold 5403N Processor 
Max Memory Size (dependent on memory type),4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB,4 TB
Memory Types,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4400 MT/s 1DPC and 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4000 MT/s 1DPC and 2DPC,Up to DDR5 4400 MT/s 1DPC and 2DPC,Up to DDR5 4400 MT/s 1DPC and 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4000 MT/s 1DPC and 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4000 MT/s 1DPC and 2DPC,Up to DDR5 4400 MT/s 1DPC and 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4400 MT/s 1DPC and 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4000 MT/s 1DPC and 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4000 MT/s 1DPC and 2DPC,Up to DDR5 4400 MT/s 1DPC and 2DPC,Up to DDR5 4000 MT/s 1DPC and 2DPC,Up to DDR5 4400 MT/s 1DPC and 2DPC,Up to DDR5 4400 MT/s 1DPC and 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,DDR5-4000,DDR5-4000,DDR5-4400,DDR5-4400,DDR5-4400,DDR5-4000,DDR5-4400,DDR5 @ 4400 MT/s (1 DPC  &2DPC),DDR5 @ 4400 MT/s (1 DPC  &2DPC),DDR5 @ 4400 MT/s (1 DPC  &2DPC),DDR5 @ 4400 MT/s (1 DPC  &2DPC),DDR5 @ 4800 MT/s (1 DPC),DDR5 @ 5600 MT/s (1 DPC),DDR5 @ 4800 MT/s (1 DPC),DDR5 @ 5600 MT/s (1 DPC),DDR5 @ 5600 MT/s (1 DPC),DDR5 @ 5200 MT/s (1 DPC),DDR5 @ 5600 MT/s (1 DPC),DDR5 @ 5600 MT/s (1 DPC),DDR5 @ 5200 MT/s (1 DPC),DDR5 @ 5600 MT/s (1 DPC),DDR5 @ 4800 MT/s (1 DPC),DDR5 @ 4800 MT/s (1 DPC),DDR5 @ 4800 MT/s (1 DPC),Up to DDR5 4800 MT/s 1DPC,Up to DDR5 4400 MT/s (1DPC & 2DPC),Up to DDR5 4400 MT/s (1DPC & 2DPC),Up to DDR5 5600 MT/s 1DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 4800 MT/s 1DPC Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC Up to DDR5 4400 MT/s 2DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 4800 MT/s 1DPC Up to DDR5 4400 MT/s 2DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 5200 MT/s 1DPC,Up to DDR5 5200 MT/s 1DPC,DDR5-4000
Max # of Memory Channels,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maximum Memory Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000 MHz,4000 MHz,4400 MHz,4400 MHz,4400 MHz,4000 MHz,4400 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000 MHz
Intel® Optane™ DC Persistent Memory Supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No

Expansion Options
Scalability,2S,2S,1S Only,2S,2S,2S,2S,S8S,2S,1S Only,2S,S8S,1S Only,2S,S8S,2S,S8S,S8S,S8S,2S,1S Only,2S,1S Only,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,S8S,2S,S4S,S4S,S4S,2S,1S Only,2S,1S Only,2S,2S,2S,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,2S,2S,2S,1S Only,1S Only,2S,2S,2S,2S,2S,2S,2S,2S,2S,1S Only,1S Only,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,2S,1S Only,2S,2S,2S,2S,1S Only
PCI Express Revision,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4
Max # of PCI Express Lanes,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,48,48,64,64,64,64,64,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,48

Package Specifications
Sockets Supported,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677,FCLGA4677
Package Carrier,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1A,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B,E1B
DTS Max,75 °C,98 °C,93 °C,91 °C,100 °C,95 °C,90 °C,97 °C,97 °C,95 °C,101 °C,97 °C,92 °C,97 °C,96 °C,92 °C,97 °C,96 °C,93 °C,95 °C,91 °C,99 °C,94 °C,96 °C,93 °C,95 °C,94 °C,94 °C,95 °C,97 °C,87 °C,99 °C,92 °C,100 °C,87 °C,96 °C,100 °C,95 °C,94 °C,98 °C,95 °C,95 °C,95 °C,95 °C,90 °C,96 °C,97 °C,99 °C,97 °C,96 °C,96 °C,96 °C,97 °C,91 °C,100 °C,102 °C,93 °C,98 °C,94 °C,100 °C,91 °C,98 °C,79 °C,96 °C,101 °C,98 °C,91 °C,99 °C,95 °C,88 °C,94 °C,97 °C,90 °C,90 °C,98 °C,101 °C,99 °C,96 °C,98 °C,90 °C,97 °C,98 °C,88 °C,98 °C,95 °C,103 °C,97 °C
TCASE,57°C,79°C,76°C,71°C,79°C,76°C,72°C,71°C,77°C,77°C,78°C,76°C,76°C,79°C,79°C,76°C,72°C,77°C,76°C,75°C,79,78,81,64,78,80,82,81,79,84,76,81,79,75,66,64,84°C,82,81,83,84,84,85,85,79,85,85,83,83,85,85,85,85,81,84,84,84,83,78,81,74,81,60,78,81,81,74,81,78,74,78,64,81,79,81,83,82,85,76,79,83,89,66,84,85,75,85
Package Size,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,,,,,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,77.5mm x 56.5mm,,,,,,,,,,,,,,,,77.5mm x 56.5mm

Intel® On Demand Available Upgrades
Intel® On Demand Available Upgrades,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,,See the specifications,See the specifications,See the specifications,,See the specifications,See the specifications,,See the specifications,,,,See the specifications,,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,,See the specifications,,,,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,See the specifications,,,,See the specifications,,,,,,,,See the specifications,,,,,,,,,,,,,,,,,,,,,See the specifications
Intel® Virtual RAID on CPU (Intel® VROC) Activation Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VROC RAID1 Only |  VROC Standard |  VROC Premium,,,,,,,,,,,,,

Advanced Technologies
Intel® On Demand Activation Model,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Data Streaming Accelerator (DSA),1 default devices,1 default devices,1 default devices,4 default devices,1 default devices,1 default devices,1 default devices,4 default devices,1 default devices,1 default devices,1 default devices,4 default devices,4 default devices,1 default devices,4 default devices,4 default devices,4 default devices,4 default devices,4 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,4 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,4 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices,1 default devices
Intel® Advanced Matrix Extensions (AMX),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Intel® Speed Select Technology – Core Power,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Speed Select Technology – Turbo Frequency,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Intel® Speed Select Technology - Base Frequency,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,No,No,No,No,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
High Priority Cores,16,16,12,12,16,12,12,12,16,16,0,12,16,16,16,16,0,16,8,12,,2,8,2,,4,,8,8,8,12,12,12,4,8,2,,6,8,12,8,8,12,,4,12,12,,,,,,,,,,,,16,16,12,16,16,16,,20,12,16,16,16,20,NA,NA,NA,12,8,4,8,2,12,12,8,12,12,12,4,
High Priority Core Frequency,2.30 GHz,2.20 GHz,2.10 GHz,2.30 GHz,2.30 GHz,2.10 GHz,2.20 GHz,2.20 GHz,2.50 GHz,2.30 GHz,0 MHz,2.40 GHz,1.90 GHz,2.10 GHz,2.00 GHz,1.80 GHz,0 MHz,2.20 GHz,2.10 GHz,2.20 GHz,,3.10 GHz,2.30 GHz,3.90 GHz,,2.70 GHz,,2.20 GHz,2.80 GHz,2.20 GHz,2.10 GHz,3.00 GHz,2.40 GHz,3.70 GHz,3.30 GHz,3.90 GHz,,2.40 GHz,2.30 GHz,2.60 GHz,2.00 GHz,2.10 GHz,1.90 GHz,,2.10 GHz,2.20 GHz,2.30 GHz,,,,,,,,,,,,2.6 GHz,2.5 GHz,2.3 GHz,2.2 GHz,2.4 GHz,2.2 GHz,,2.1 GHz,2.4 GHz,2.3 GHz,2.2 GHz,2.2 GHz,2.2 GHz,,,,3 GHz,3.1 GHz,3 GHz,2.4 GHz,3.3 GHz,2.4 GHz,2.7 GHz,2.3 GHz,3.3 GHz,3 GHz,2.3 GHz,3.7 GHz,
Low Priority Cores,36,36,20,20,32,28,20,20,32,32,0,28,36,40,44,36,0,32,20,24,,6,16,6,,12,,16,16,20,20,20,20,12,24,6,,12,16,,16,16,20,,12,20,20,,,,,,,,,,,,36,32,20,44,48,32,,44,24,40,32,44,44,,,,20,16,12,20,6,20,20,20,20,20,20,12,
Low Priority Core Frequency,1.90 GHz,1.80 GHz,1.60 GHz,1.70 GHz,1.90 GHz,1.70 GHz,1.80 GHz,1.80 GHz,2.10 GHz,1.90 GHz,0 MHz,2.00 GHz,1.30 GHz,1.70 GHz,1.60 GHz,1.30 GHz,0 MHz,1.80 GHz,1.70 GHz,1.80 GHz,,,,,,,,,,,,2.60 GHz,2.00 GHz,3.20 GHz,2.80 GHz,3.40 GHz,,2.00 GHz,1.90 GHz,,1.60 GHz,1.70 GHz,1.50 GHz,,1.70 GHz,1.80 GHz,1.80 GHz,,,,,,,,,,,,2.2 GHz,2.1 GHz,1.9 GHz,1.8 GHz,2 GHz,1.8 GHz,,1.7 GHz,2 GHz,1.9 GHz,1.8 GHz,1.8 GHz,1.8 GHz,,,,2.6 GHz,2.7 GHz,2.6 GHz,2 GHz,3.2 GHz,2 GHz,2.3 GHz,1.9 GHz,3 GHz,2.6 GHz,1.9 GHz,3.5 GHz,
